Description,    Date,    Value
368.79
Oil Sales - Bbls, 	Apr 2021, 	953.9
Landman Svcs - Exp, 	Jul 2021, 	-5234.04
Landman Svcs - Exp, 	Aug 2021, 	-4625.94
Geological & Geophysical, 	Mar 2021, 	0
Geological & Geophysical, 	Apr 2021, 	-39500
Geological & Geophysical, 	May 2021, 	-17500
Geological & Geophysical, 	Jun 2021, 	-22476
Geological & Geophysical, 	Jul 2021, 	-30333
Geological & Geophysical, 	Aug 2021, 	-18300
Total Leasehold Developed, 	Mar 2021, 	0
Total Leasehold Developed, 	Apr 2021, 	-50220.83
Total Leasehold Developed, 	May 2021, 	-24898
Total Leasehold Developed, 	Jun 2021, 	-29538.9
Total Leasehold Developed, 	Jul 2021, 	-35567.04
Total Leasehold Developed, 	Aug 2021, 	-22925.94
Consulting-Environment&Safety, 	Mar 2021, 	-9959.25
Consulting-Environment&Safety, 	Apr 2021, 	-19974.2
Consulting-Environment&Safety, 	May 2021, 	-4859.04
Consulting-Environment&Safety, 	Jun 2021, 	-15297.83
Consulting-Environment&Safety, 	Jul 2021, 	-3877.13
Consulting-Environment&Safety, 	Aug 2021, 	-4888.5
Equipment Rental, 	Mar 2021, 	0
Equipment Rental, 	Apr 2021, 	0
Equipment Rental, 	May 2021, 	0
Equipment Rental, 	Jun 2021, 	0
Equipment Rental, 	Jul 2021, 	0
Equipment Rental, 	Aug 2021, 	-1915.82
Geological & Engineering, 	Mar 2021, 	0
Geological & Engineering, 	Apr 2021, 	0
Geological & Engineering, 	May 2021, 	-5500
Geological & Engineering, 	Jun 2021, 	0
Geological & Engineering, 	Jul 2021, 	0
Geological & Engineering, 	Aug 2021, 	0
Geo & Engineering Consulting, 	Mar 2021, 	0
Geo & Engineering Consulting, 	Apr 2021, 	-25331.72
Geo & Engineering Consulting, 	May 2021, 	-3150
Geo & Engineering Consulting, 	Jun 2021, 	-6323
Geo & Engineering Consulting, 	Jul 2021, 	-1868
Geo & Engineering Consulting, 	Aug 2021, 	-9508
Travel and Expenses, 	Mar 2021, 	0
Travel and Expenses, 	Apr 2021, 	0
Travel and Expenses, 	May 2021, 	-3051.33
Travel and Expenses, 	Jun 2021, 	0
Travel and Expenses, 	Jul 2021, 	0
Travel and Expenses, 	Aug 2021, 	-87.29
Total Intangible Drilling Costs, 	Mar 2021, 	-9959.25
Total Intangible Drilling Costs, 	Apr 2021, 	-45305.92
Total Intangible Drilling Costs, 	May 2021, 	-16560.370000000003
Total Intangible Drilling Costs, 	Jun 2021, 	-21620.83
Total Intangible Drilling Costs, 	Jul 2021, 	-5745.13
Total Intangible Drilling Costs, 	Aug 2021, 	-16399.61
Acidizing & Fracturing, 	Mar 2021, 	0
Acidizing & Fracturing, 	Apr 2021, 	0
Acidizing & Fracturing, 	May 2021, 	-7916.76
Acidizing & Fracturing, 	Jun 2021, 	0
Acidizing & Fracturing, 	Jul 2021, 	0
Acidizing & Fracturing, 	Aug 2021, 	-1700
Chemical & Solvents, 	Mar 2021, 	0
Chemical & Solvents, 	Apr 2021, 	0
Chemical & Solvents, 	May 2021, 	-79310.55
Chemical & Solvents, 	Jun 2021, 	0
Chemical & Solvents, 	Jul 2021, 	-2581.7
Chemical & Solvents, 	Aug 2021, 	0
Consulting Services, 	Mar 2021, 	-7500
Consulting Services, 	Apr 2021, 	-6252.07
Consulting Services, 	May 2021, 	-14015
Consulting Services, 	Jun 2021, 	-3750
Consulting Services, 	Jul 2021, 	-21549.51
Consulting Services, 	Aug 2021, 	-7500
Fishing Services, 	Mar 2021, 	0
Fishing Services, 	Apr 2021, 	0
Fishing Services, 	May 2021, 	0
Fishing Services, 	Jun 2021, 	-1125
Fishing Services, 	Jul 2021, 	0
Fishing Services, 	Aug 2021, 	0
Equipment Rental, 	Mar 2021, 	0
Equipment Rental, 	Apr 2021, 	0
Equipment Rental, 	May 2021, 	0
Equipment Rental, 	Jun 2021, 	-1419
Equipment Rental, 	Jul 2021, 	0
Equipment Rental, 	Aug 2021, 	0
Geological & Engineering, 	Mar 2021, 	0
Geological & Engineering, 	Apr 2021, 	-50
Geological & Engineering, 	May 2021, 	-1305
Geological & Engineering, 	Jun 2021, 	-9875
Geological & Engineering, 	Jul 2021, 	-8500
Geological & Engineering, 	Aug 2021, 	-3750
Location & Roads, 	Mar 2021, 	0
Location & Roads, 	Apr 2021, 	-14600
Location & Roads, 	May 2021, 	0
Location & Roads, 	Jun 2021, 	0
Location & Roads, 	Jul 2021, 	-10192.5
Location & Roads, 	Aug 2021, 	0
Meals, 	Mar 2021, 	0
Meals, 	Apr 2021, 	0
Meals, 	May 2021, 	-42.54
Meals, 	Jun 2021, 	0
Meals, 	Jul 2021, 	0
Meals, 	Aug 2021, 	0
Overhead & Supervision, 	Mar 2021, 	0
Overhead & Supervision, 	Apr 2021, 	-33100
Overhead & Supervision, 	May 2021, 	-33500
Overhead & Supervision, 	Jun 2021, 	-35069.6
Overhead & Supervision, 	Jul 2021, 	-17500
Overhead & Supervision, 	Aug 2021, 	-51.86
Roustabout Service, 	Mar 2021, 	0
Roustabout Service, 	Apr 2021, 	0
Roustabout Service, 	May 2021, 	-21336.75
Roustabout Service, 	Jun 2021, 	-8771
Roustabout Service, 	Jul 2021, 	-9785.5
Roustabout Service, 	Aug 2021, 	-2240
Supervision, 	Mar 2021, 	0
Supervision, 	Apr 2021, 	0
Supervision, 	May 2021, 	-3100
Supervision, 	Jun 2021, 	0
Supervision, 	Jul 2021, 	-7600
Supervision, 	Aug 2021, 	-9000
Swabbing, 	Mar 2021, 	0
Swabbing, 	Apr 2021, 	0
Swabbing, 	May 2021, 	0
Swabbing, 	Jun 2021, 	-15421.56
Swabbing, 	Jul 2021, 	0
Swabbing, 	Aug 2021, 	0
Testing, 	Mar 2021, 	0
Testing, 	Apr 2021, 	0
Testing, 	May 2021, 	-821.51
Testing, 	Jun 2021, 	-1355
Testing, 	Jul 2021, 	0
Testing, 	Aug 2021, 	-645
Vacuum Truck, 	Mar 2021, 	0
Vacuum Truck, 	Apr 2021, 	0
Vacuum Truck, 	May 2021, 	0
Vacuum Truck, 	Jun 2021, 	-4020
Vacuum Truck, 	Jul 2021, 	0
Vacuum Truck, 	Aug 2021, 	0
Workover, 	Mar 2021, 	0
Workover, 	Apr 2021, 	0
Workover, 	May 2021, 	-6000
Workover, 	Jun 2021, 	0
Workover, 	Jul 2021, 	0
Workover, 	Aug 2021, 	0
Total Intangible Completion, 	Mar 2021, 	-7500
Total Intangible Completion, 	Apr 2021, 	-54002.07
Total Intangible Completion, 	May 2021, 	-167348.11
Total Intangible Completion, 	Jun 2021, 	-80806.16
Total Intangible Completion, 	Jul 2021, 	-77709.20999999999
Total Intangible Completion, 	Aug 2021, 	-24886.86
Compressor, 	Mar 2021, 	0
Compressor, 	Apr 2021, 	0
Compressor, 	May 2021, 	0
Compressor, 	Jun 2021, 	-8719.87
Compressor, 	Jul 2021, 	0
Compressor, 	Aug 2021, 	0
Flow Lines, 	Mar 2021, 	0
Flow Lines, 	Apr 2021, 	0
Flow Lines, 	May 2021, 	-2078.58
Flow Lines, 	Jun 2021, 	0
Flow Lines, 	Jul 2021, 	0
Flow Lines, 	Aug 2021, 	0
Location & Road Materials, 	Mar 2021, 	0
Location & Road Materials, 	Apr 2021, 	0
Location & Road Materials, 	May 2021, 	-2955.25
Location & Road Materials, 	Jun 2021, 	0
Location & Road Materials, 	Jul 2021, 	0
Location & Road Materials, 	Aug 2021, 	0
Pumping Unit, 	Mar 2021, 	0
Pumping Unit, 	Apr 2021, 	0
Pumping Unit, 	May 2021, 	0
Pumping Unit, 	Jun 2021, 	0
Pumping Unit, 	Jul 2021, 	-13450.5
Pumping Unit, 	Aug 2021, 	0
Tanks, 	Mar 2021, 	0
Tanks, 	Apr 2021, 	0
Tanks, 	May 2021, 	-32604.8
Tanks, 	Jun 2021, 	0
Tanks, 	Jul 2021, 	0
Tanks, 	Aug 2021, 	0
Tanks, 	Mar 2021, 	0
Tanks, 	Apr 2021, 	0
Tanks, 	May 2021, 	-4085.69
Tanks, 	Jun 2021, 	-38840.67
Tanks, 	Jul 2021, 	0
Tanks, 	Aug 2021, 	-344.56
Valves & Fittings, 	Mar 2021, 	0
Valves & Fittings, 	Apr 2021, 	0
Valves & Fittings, 	May 2021, 	-7788.85
Valves & Fittings, 	Jun 2021, 	0
Valves & Fittings, 	Jul 2021, 	0
Valves & Fittings, 	Aug 2021, 	0
Water Treatment Components, 	Mar 2021, 	0
Water Treatment Components, 	Apr 2021, 	0
Water Treatment Components, 	May 2021, 	0
Water Treatment Components, 	Jun 2021, 	0
Water Treatment Components, 	Jul 2021, 	-4443.15
Water Treatment Components, 	Aug 2021, 	0
Water Well, 	Mar 2021, 	0
Water Well, 	Apr 2021, 	0
Water Well, 	May 2021, 	-818.7
Water Well, 	Jun 2021, 	0
Water Well, 	Jul 2021, 	0
Water Well, 	Aug 2021, 	0
Total Equipment, 	Mar 2021, 	0
Total Equipment, 	Apr 2021, 	0
Total Equipment, 	May 2021, 	-50331.869999999995
Total Equipment, 	Jun 2021, 	-47560.54
Total Equipment, 	Jul 2021, 	-17893.65
Total Equipment, 	Aug 2021, 	-344.56
Total CAPEX Expenses, 	Mar 2021, 	-28235.75
Total CAPEX Expenses, 	Apr 2021, 	-1682218.4200000002
Total CAPEX Expenses, 	May 2021, 	-325442.35
Total CAPEX Expenses, 	Jun 2021, 	-2092105.8
Total CAPEX Expenses, 	Jul 2021, 	-227778.68
Total CAPEX Expenses, 	Aug 2021, 	-100657.64
Net Cash Flow After CAPEX, 	Mar 2021, 	-313.11999999999534
Net Cash Flow After CAPEX, 	Apr 2021, 	-1665725.6600000001
Net Cash Flow After CAPEX, 	May 2021, 	-225887.6199999999
Net Cash Flow After CAPEX, 	Jun 2021, 	-1978951.9300000002
Net Cash Flow After CAPEX, 	Jul 2021, 	18654.130000000063
Net Cash Flow After CAPEX, 	Aug 2021, 	-12779.029999999955
Average $ per BBL, 	Mar 2021, 	-56.76
Average $ per BBL, 	Apr 2021, 	-56.46
Average $ per BBL, 	May 2021, 	-59.85
Average $ per BBL, 	Jun 2021, 	-76.15
Average $ per BBL, 	Jul 2021, 	-69
Average $ per BBL, 	Aug 2021, 	-64.41
Average $ per MCF, 	Mar 2021, 	0
Average $ per MCF, 	Apr 2021, 	-3.02
Average $ per MCF, 	May 2021, 	-3.4
Average $ per MCF, 	Jun 2021, 	-4.23
Average $ per MCF, 	Jul 2021, 	-3.99
Average $ per MCF, 	Aug 2021, 	-4.66
